,VIN,modelo_coche,id_del_vendedor,fecha_venta
0,1FABPBLT3JL200051,Ford Fiesta,113,2023-01-15
1,2FADP4EJ9CL200052,Ford Focus,114,2023-02-02
2,3FABP4EJ8CR200053,Ford Mustang,115,2023-01-20
3,4FADS2LJ2CL200054,Ford Explorer,113,2023-02-10
4,5FAHP3K22CL200055,Ford Escape,114,2023-01-05
5,1FABP4BJ3DL200056,Ford Fusion,115,2023-02-28
6,2FABP4AV1FL200057,Ford Bronco,113,2023-01-12
7,3FAHP0JA4CL200058,Ford Edge,114,2023-02-18
8,4FABP4EJ7CL200059,Ford Ranger,115,2023-01-08
9,5FABP4CN0CL200060,Ford Transit,113,2023-02-25
10,1FABPBLT3JL200061,Ford Fiesta,116,2023-03-05
11,2FADP4EJ9CL200062,Ford Focus,117,2023-03-12
12,3FABP4EJ8CR200063,Ford Mustang,118,2023-03-18
13,4FADS2LJ2CL200064,Ford Explorer,116,2023-03-24
14,5FAHP3K22CL200065,Ford Escape,117,2023-03-30
15,1FABP4BJ3DL200066,Ford Fusion,118,2023-04-05
16,2FABP4AV1FL200067,Ford Bronco,116,2023-04-12
17,3FAHP0JA4CL200068,Ford Edge,117,2023-04-18
18,4FABP4EJ7CL200069,Ford Ranger,118,2023-04-25
19,5FABP4CN0CL200070,Ford Transit,116,2023-05-02
20,1FABPBLT3JL200071,Ford Fiesta,119,2023-05-10
21,2FADP4EJ9CL200072,Ford Focus,120,2023-05-18
22,3FABP4EJ8CR200073,Ford Mustang,121,2023-05-25
23,4FADS2LJ2CL200074,Ford Explorer,119,2023-06-02
24,5FAHP3K22CL200075,Ford Escape,120,2023-06-10
25,1FABP4BJ3DL200076,Ford Fusion,121,2023-06-18
26,2FABP4AV1FL200077,Ford Bronco,119,2023-06-25
27,3FAHP0JA4CL200078,Ford Edge,120,2023-07-02
28,4FABP4EJ7CL200079,Ford Ranger,121,2023-07-10
29,5FABP4CN0CL200080,Ford Transit,119,2023-07-18
30,1FABPBLT3JL200081,Ford Fiesta,122,2023-07-25
31,2FADP4EJ9CL200082,Ford Focus,123,2023-08-02
32,3FABP4EJ8CR200083,Ford Mustang,124,2023-08-10
33,4FADS2LJ2CL200084,Ford Explorer,122,2023-08-18
34,5FAHP3K22CL200085,Ford Escape,123,2023-08-25
35,1FABP4BJ3DL200086,Ford Fusion,124,2023-09-02
36,2FABP4AV1FL200087,Ford Bronco,122,2023-09-10
37,3FAHP0JA4CL200088,Ford Edge,123,2023-09-18
38,4FABP4EJ7CL200089,Ford Ranger,124,2023-09-25
39,5FABP4CN0CL200090,Ford Transit,122,2023-10-02
40,1FABPBLT3JL200091,Ford Fiesta,125,2023-10-10
41,2FADP4EJ9CL200092,Ford Focus,126,2023-10-18
42,3FABP4EJ8CR200093,Ford Mustang,127,2023-10-25
43,4FADS2LJ2CL200094,Ford Explorer,125,2023-11-02
44,5FAHP3K22CL200095,Ford Escape,126,2023-11-10
45,1FABP4BJ3DL200096,Ford Fusion,127,2023-11-18
46,2FABP4AV1FL200097,Ford Bronco,125,2023-11-25
47,3FAHP0JA4CL200098,Ford Edge,126,2023-12-02
48,4FABP4EJ7CL200099,Ford Ranger,127,2023-12-10
49,5FABP4CN0CL200100,Ford Transit,125,2023-12-18
